System,Date,Big_Integer_Metric,Float_Metric
SYS1,2014-01-01,1330888405,12.1
SYS1,2014-02-01,1319451978,11.1
SYS1,2014-03-01,1467359100,10.1
SYS1,2014-04-01,1415706669,12.2
SYS1,2014-05-01,1485169910,11.8
SYS1,2014-06-01,1374873201,6.1
SYS1,2014-07-01,1438945177,7.1
SYS1,2014-08-01,1505988200,8.4
SYS1,2014-09-01,1436418705,9.8
SYS1,2014-10-01,1519216873,10.1
SYS1,2014-11-01,1485841986,6.5
SYS1,2014-12-01,1635843095,8.1
SYS1,2015-01-01,1443916445,8.5
SYS1,2015-02-01,1423023026,7.8
SYS1,2015-03-01,1600384299,9.1
SYS1,2015-04-01,1544455323,9.1
SYS1,2015-05-01,1607226199,8.2
SYS1,2015-06-01,1541006261,12.1
SYS1,2015-07-01,1574904358,9.4
SYS1,2015-08-01,1538834589,2.2
SYS1,2015-09-01,1452897721,1.1
SYS1,2015-10-01,1557741953,2.5
SYS1,2015-11-01,1556078600,4.7
SYS1,2015-12-01,1747237166,6.8
SYS1,2016-01-01,1574575119,9
SYS1,2016-02-01,1528001409,7.4
SYS1,2016-03-01,1721601638,7.6
SYS1,2016-04-01,1697229633,9.9
SYS1,2016-05-01,1738499913,8.2
SYS1,2016-06-01,1743633510,13.1
SYS1,2016-07-01,1913185993,21.5
SYS1,2016-08-01,1901955233,23.6
SYS1,2016-09-01,1847914014,27.2
SYS1,2016-10-01,1927322283,23.7
SYS1,2016-11-01,1967174327,26.4
SYS1,2016-12-01,2291889853,31.2
SYS1,2017-01-01,1980026620,25.7
SYS1,2017-02-01,1922424419,25.8
SYS1,2017-03-01,2133212561,23.9
SYS1,2017-04-01,2062894231,21.5
SYS1,2017-05-01,2118181721,21.8
SYS1,2017-06-01,2163286799,24.1
SYS1,2017-07-01,2204532116,15.2
SYS1,2017-08-01,2214069747,16.4
SYS1,2017-09-01,2194270954,18.7
SYS1,2017-10-01,2270163171,17.8
SYS1,2017-11-01,2281137484,16
SYS1,2017-12-01,2530449124,10.4
SYS1,2018-01-01,2230860206,12.7
SYS1,2018-02-01,2196886674,14.3
SYS1,2018-03-01,2538532182,19
SYS1,2018-04-01,2436503514,18.1
SYS1,2018-05-01,2537410030,19.8
SYS1,2018-06-01,2499511946,15.5
SYS1,2018-07-01,2539179075,15.2
SYS1,2018-08-01,2553837295,15.3
SYS1,2018-09-01,2479180037,13
SYS1,2018-10-01,2543566273,12
SYS1,2018-11-01,2501978625,9.7
SYS1,2018-12-01,2788707565,10.2
SYS1,2019-01-01,2444827353,9.6
SYS1,2019-02-01,2353022554,7.1
SYS1,2019-03-01,2649941353,4.4
SYS1,2019-04-01,2599352765,6.7
SYS1,2019-05-01,2686947125,5.9
SYS1,2019-06-01,2666093950,6.7
SYS1,2019-07-01,2812128338,10.7